BPS Race,Gender,Grade,Date,Time,Absent?,Tardy?,Dismissed?,Reason,Excused?,Home Lang,Student No,Filter
White,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,298968,Absent
White,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,260103,Absent
Black,M,8,2/16/2018,11:57 AM,FALSE,FALSE,TRUE,,FALSE,English,316618,Present
Asian,M,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,301713,Absent
Asian,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,400665,Absent
Black,F,12,2/16/2018,7:24 AM,,,,,,,,Present
White,F,12,2/16/2018,7:43 AM,FALSE,TRUE,FALSE,,FALSE,English,257846,Tardy
Black,M,12,2/16/2018,7:23 AM,FALSE,TRUE,FALSE,,FALSE,English,327768,Tardy
White,F,12,2/16/2018,8:13 AM,FALSE,TRUE,FALSE,,FALSE,English,259151,Tardy
White,F,12,2/16/2018,8:46 AM,FALSE,TRUE,FALSE,,FALSE,English,234362,Tardy
Black,M,12,2/16/2018,7:27 AM,FALSE,TRUE,FALSE,,FALSE,English,234519,Tardy
Hispanic,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,Illness/Medical,TRUE,English,316024,Absent
Hispanic,F,9,2/16/2018,7:44 AM,FALSE,TRUE,FALSE,,FALSE,English,318332,Tardy
Black,M,12,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,348409,Tardy
Hispanic,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,315074,Absent
Black,F,9,2/16/2018,9:14 AM,FALSE,TRUE,FALSE,,FALSE,English,311230,Tardy
Black,M,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,299507,Absent
Asian,F,12,2/16/2018,10:23 AM,FALSE,FALSE,TRUE,,FALSE,English,258293,Present
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,267362,Absent
Hispanic,M,10,2/16/2018,7:22 AM,FALSE,TRUE,FALSE,,FALSE,Cantonese,250837,Tardy
Asian,M,12,2/16/2018,8:14 AM,FALSE,TRUE,FALSE,,FALSE,Cantonese,304105,Tardy
Asian,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Cantonese,314567,Absent
Asian,M,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Cantonese,315660,Absent
Asian,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Cantonese,332191,Absent
Asian,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Mandarin,368036,Absent
Other,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,325556,Absent
White,F,9,2/16/2018,1:37 PM,FALSE,FALSE,TRUE,,FALSE,English,305862,Present
White,F,7,2/16/2018,1:38 PM,FALSE,FALSE,TRUE,,FALSE,English,350887,Present
Asian,F,12,2/16/2018,8:40 AM,FALSE,TRUE,FALSE,,FALSE,Arabic,240937,Tardy
Black,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,247372,Absent
White,F,12,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,260048,Tardy
White,F,10,2/16/2018,10:11 AM,FALSE,TRUE,FALSE,,FALSE,English,297589,Tardy
Hispanic,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,257753,Absent
Hispanic,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,303250,Absent
Black,M,11,2/16/2018,8:53 AM,FALSE,TRUE,FALSE,,FALSE,English,243309,Tardy
Hispanic,F,7,2/16/2018,7:27 AM,FALSE,TRUE,FALSE,,FALSE,English,400872,Tardy
Hispanic,F,9,2/16/2018,7:52 AM,FALSE,TRUE,FALSE,,FALSE,English,306040,Tardy
Hispanic,F,10,2/16/2018,10:32 AM,FALSE,FALSE,TRUE,,FALSE,English,259019,Present
Hispanic,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Spanish,247432,Absent
White,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,247147,Absent
Hispanic,M,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Spanish,308143,Absent
Black,M,10,2/16/2018,8:08 AM,FALSE,TRUE,FALSE,,FALSE,English,259281,Tardy
Hispanic,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,311116,Absent
White,M,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Portuguese,301797,Absent
Black,F,8,2/16/2018,7:43 AM,FALSE,TRUE,FALSE,,FALSE,English,314336,Tardy
White,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,348398,Absent
Black,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,245094,Absent
Black,M,12,2/16/2018,7:31 AM,FALSE,TRUE,FALSE,,FALSE,French,249039,Tardy
Black,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,311232,Absent
White,F,12,2/16/2018,9:26 AM,FALSE,TRUE,FALSE,Illness/Medical,TRUE,English,258869,Tardy
Hispanic,F,10,2/16/2018,1:38 PM,FALSE,FALSE,TRUE,,FALSE,English,232371,Present
White,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,348357,Absent
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,268429,Absent
White,M,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,316210,Absent
Asian,M,12,2/16/2018,8:12 AM,FALSE,TRUE,FALSE,,FALSE,English,262665,Tardy
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,301888,Absent
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,268058,Absent
Hispanic,F,9,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,English,371609,Tardy
White,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,296987,Absent
White,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,367435,Absent
Hispanic,M,11,2/16/2018,7:27 AM,FALSE,TRUE,FALSE,,FALSE,English,269931,Tardy
Asian,M,12,2/16/2018,7:31 AM,FALSE,TRUE,FALSE,,FALSE,Cantonese,258587,Tardy
Black,F,12,2/16/2018,8:01 AM,FALSE,TRUE,FALSE,,FALSE,English,259239,Tardy
Hispanic,F,10,2/16/2018,7:23 AM,FALSE,TRUE,FALSE,,FALSE,English,207672,Tardy
Black,F,12,2/16/2018,12:09 PM,TRUE,TRUE,FALSE,Illness/Medical,TRUE,English,300625,Absent
White,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,301630,Absent
Hispanic,M,12,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,English,236817,Tardy
Black,F,12,2/16/2018,8:29 AM,FALSE,TRUE,FALSE,,FALSE,English,240335,Tardy
Black,F,11,2/16/2018,8:39 AM,FALSE,TRUE,FALSE,,FALSE,Haitian,263013,Tardy
White,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,348347,Absent
White,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,371671,Absent
Black,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,317985,Absent
Hispanic,F,11,2/16/2018,7:29 AM,FALSE,TRUE,FALSE,,FALSE,English,269031,Tardy
Hispanic,F,9,2/16/2018,7:38 AM,FALSE,TRUE,FALSE,,FALSE,Spanish,371721,Tardy
Hispanic,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Spanish,257095,Absent
White,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,338376,Absent
White,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,380183,Absent
White,M,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,356711,Absent
Hispanic,F,8,2/16/2018,10:29 AM,FALSE,FALSE,TRUE,,FALSE,English,306650,Present
Hispanic,M,11,2/16/2018,9:07 AM,FALSE,FALSE,TRUE,,FALSE,Spanish,359049,Present
Black,F,12,2/16/2018,7:25 AM,FALSE,TRUE,FALSE,,FALSE,English,349061,Tardy
Black,F,10,2/16/2018,7:26 AM,FALSE,TRUE,FALSE,,FALSE,English,313018,Tardy
Hispanic,F,7,2/16/2018,7:30 AM,FALSE,TRUE,FALSE,,FALSE,English,339328,Tardy
Black,F,12,2/16/2018,7:26 AM,FALSE,TRUE,FALSE,,FALSE,English,238707,Tardy
Hispanic,M,9,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,Spanish,296372,Tardy
Hispanic,M,10,2/16/2018,7:30 AM,FALSE,TRUE,FALSE,,FALSE,English,269412,Tardy
Hispanic,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,296630,Absent
White,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,296605,Absent
White,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,307279,Absent
White,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,316457,Absent
Black,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,267116,Absent
Other,M,8,2/16/2018,11:20 AM,FALSE,FALSE,TRUE,,FALSE,English,316921,Present
Black,F,10,2/16/2018,7:22 AM,FALSE,TRUE,FALSE,,FALSE,English,367454,Tardy
White,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,327587,Absent
Black,F,12,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,349401,Tardy
Asian,M,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,268836,Absent
Hispanic,F,10,2/16/2018,7:22 AM,FALSE,TRUE,FALSE,,FALSE,English,295681,Tardy
Black,M,7,2/16/2018,7:23 AM,FALSE,TRUE,FALSE,,FALSE,Amharic,361576,Tardy
Black,F,11,2/16/2018,7:40 AM,FALSE,TRUE,FALSE,,FALSE,English,232352,Tardy
Asian,F,9,2/16/2018,7:50 AM,FALSE,TRUE,FALSE,,FALSE,English,301983,Tardy
Hispanic,M,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,316010,Absent
Black,M,12,2/16/2018,7:23 AM,FALSE,TRUE,FALSE,,FALSE,English,251040,Tardy
Black,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,215113,Absent
Hispanic,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,320588,Absent
Hispanic,M,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,306934,Absent
Hispanic,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Spanish,297611,Absent
Black,M,11,2/16/2018,12:48 PM,FALSE,FALSE,TRUE,,FALSE,English,357778,Present
Black,M,11,2/16/2018,12:49 PM,FALSE,FALSE,TRUE,,FALSE,English,357777,Present
Asian,F,11,2/16/2018,7:25 AM,FALSE,TRUE,FALSE,,FALSE,Vietnamese,249727,Tardy
White,F,7,2/16/2018,7:26 AM,FALSE,TRUE,FALSE,,FALSE,English,316825,Tardy
Black,F,10,2/16/2018,7:31 AM,FALSE,TRUE,FALSE,,FALSE,English,250550,Tardy
Black,F,10,2/16/2018,9:56 AM,FALSE,TRUE,FALSE,,FALSE,English,264644,Tardy
Hispanic,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,260568,Absent
Black,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,242430,Absent
Nat. Amer.,F,11,2/16/2018,9:56 AM,FALSE,TRUE,FALSE,,FALSE,English,245902,Tardy
Black,F,8,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,English,388572,Tardy
Other,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,306541,Absent
White,F,12,2/16/2018,7:50 AM,,,,,,,,Present
Hispanic,F,11,2/16/2018,9:02 AM,FALSE,TRUE,FALSE,,FALSE,English,255179,Tardy
Hispanic,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,314222,Absent
Black,F,9,2/16/2018,7:37 AM,FALSE,TRUE,FALSE,,FALSE,Somali,301360,Tardy
Black,F,8,2/16/2018,7:23 AM,FALSE,TRUE,FALSE,,FALSE,English,320670,Tardy
Black,F,9,2/16/2018,7:28 AM,FALSE,TRUE,FALSE,,FALSE,English,381193,Tardy
Black,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,258095,Absent
Black,F,9,2/16/2018,7:27 AM,FALSE,TRUE,FALSE,,FALSE,English,301943,Tardy
Black,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,261745,Absent
White,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,259392,Absent
Black,F,9,2/16/2018,7:20 AM,FALSE,TRUE,FALSE,,FALSE,English,318280,Tardy
White,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,268071,Absent
Asian,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,297308,Absent
White,F,9,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,English,305175,Tardy
Black,F,9,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,English,361936,Tardy
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,306032,Absent
Asian,F,12,2/16/2018,10:07 AM,FALSE,TRUE,FALSE,,FALSE,English,258419,Tardy
Asian,M,10,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,329815,Tardy
Asian,M,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,237822,Absent
Asian,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,262751,Absent
White,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,346320,Absent
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Cantonese,305882,Absent
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,306313,Absent
Asian,F,12,2/16/2018,10:11 AM,FALSE,TRUE,FALSE,,FALSE,Cantonese,258506,Tardy
Black,M,11,2/16/2018,7:40 AM,FALSE,TRUE,FALSE,,FALSE,English,262843,Tardy
Asian,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Cantonese,297068,Absent
Asian,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Cantonese,297319,Absent
Asian,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Toishanese,310258,Absent
Black,M,7,2/16/2018,7:26 AM,FALSE,TRUE,FALSE,,FALSE,English,317578,Tardy
White,M,9,2/16/2018,7:25 AM,FALSE,TRUE,FALSE,,FALSE,English,297476,Tardy
Hispanic,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,Other,TRUE,English,303224,Absent
Asian,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,257747,Absent
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,313970,Absent
Asian,M,9,2/16/2018,7:20 AM,FALSE,TRUE,FALSE,,FALSE,Vietnamese,298575,Tardy
Asian,F,12,2/16/2018,7:33 AM,FALSE,TRUE,FALSE,,FALSE,Vietnamese,240141,Tardy
Asian,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,268514,Absent
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Cantonese,262765,Absent
Hispanic,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,309862,Absent
Asian,M,12,2/16/2018,Null,FALSE,FALSE,FALSE,Religious Holiday,TRUE,Vietnamese,310744,Present
Asian,F,9,2/16/2018,Null,FALSE,FALSE,FALSE,Religious Holiday,TRUE,Vietnamese,310757,Present
Other,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,380973,Absent
White,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,Other,TRUE,English,315559,Absent
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Toishanese,305884,Absent
Asian,M,7,2/16/2018,Null,FALSE,FALSE,FALSE,Religious Holiday,TRUE,English,326407,Present
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,311328,Absent
Asian,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Toishanese,297185,Absent
Other,F,11,2/16/2018,7:26 AM,FALSE,TRUE,FALSE,,FALSE,English,229276,Tardy
Other,F,8,2/16/2018,7:29 AM,FALSE,TRUE,FALSE,,FALSE,English,307932,Tardy
Hispanic,F,10,2/16/2018,7:29 AM,FALSE,TRUE,FALSE,,FALSE,English,367447,Tardy
White,M,10,2/16/2018,12:46 PM,FALSE,FALSE,TRUE,,FALSE,Albanian,331156,Present
White,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,299654,Absent
Hispanic,M,8,2/16/2018,7:22 AM,FALSE,TRUE,FALSE,,FALSE,English,332690,Tardy
Hispanic,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,316147,Absent
Hispanic,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,307948,Absent
Black,F,8,2/16/2018,8:53 AM,FALSE,TRUE,FALSE,,FALSE,English,340748,Tardy
White,F,12,2/16/2018,8:12 AM,FALSE,TRUE,FALSE,,FALSE,English,348405,Tardy
Black,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,309885,Absent
White,F,11,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,260101,Tardy
White,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,357866,Absent
White,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,258353,Absent
Black,F,12,2/16/2018,9:52 AM,,,,,,,,Present
White,F,12,2/16/2018,7:27 AM,FALSE,TRUE,FALSE,,FALSE,English,312064,Tardy
White,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,299535,Absent
White,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,Other,TRUE,English,324701,Absent
Asian,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Toishanese,331476,Absent
Hispanic,M,11,2/16/2018,7:33 AM,FALSE,TRUE,FALSE,,FALSE,Spanish,260247,Tardy
Hispanic,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,257140,Absent
White,M,7,2/16/2018,7:27 AM,FALSE,TRUE,FALSE,,FALSE,English,317170,Tardy
Hispanic,F,12,2/16/2018,7:51 AM,FALSE,TRUE,FALSE,,FALSE,English,258431,Tardy
Black,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,236692,Absent
Hispanic,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,298661,Absent
Black,M,11,2/16/2018,7:30 AM,FALSE,TRUE,FALSE,,FALSE,Somali,207164,Tardy
Black,M,10,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,267787,Tardy
White,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,317374,Absent
Hispanic,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,339522,Absent
White,F,7,2/16/2018,12:10 PM,FALSE,FALSE,TRUE,,FALSE,English,309451,Present
White,M,10,2/16/2018,8:21 AM,FALSE,TRUE,FALSE,,FALSE,English,269742,Tardy
White,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,258914,Absent
Hispanic,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,360186,Absent
White,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,296306,Absent
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,Illness/Medical,TRUE,English,306045,Absent
Asian,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,327970,Absent
Asian,F,12,2/16/2018,8:13 AM,FALSE,TRUE,FALSE,,FALSE,English,339235,Tardy
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,347152,Absent
Asian,F,12,2/16/2018,7:56 AM,FALSE,TRUE,FALSE,,FALSE,English,359294,Tardy
Asian,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,248815,Absent
Asian,M,11,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,Vietnamese,338277,Tardy
Asian,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,267354,Absent
Asian,F,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,308249,Absent
Asian,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,241671,Absent
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,296539,Absent
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,314941,Absent
Asian,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,266490,Absent
Asian,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,309525,Absent
Asian,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,296962,Absent
Asian,F,12,2/16/2018,7:29 AM,FALSE,TRUE,FALSE,,FALSE,Vietnamese,263675,Tardy
Asian,M,11,2/16/2018,7:30 AM,FALSE,TRUE,FALSE,,FALSE,English,310089,Tardy
Asian,F,7,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,305188,Tardy
Asian,F,11,2/16/2018,8:29 AM,FALSE,TRUE,FALSE,,FALSE,English,267884,Tardy
Black,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,Illness/Medical,TRUE,English,248409,Absent
Black,F,12,2/16/2018,8:43 AM,FALSE,TRUE,FALSE,,FALSE,Haitian,349071,Tardy
Hispanic,F,7,2/16/2018,7:25 AM,FALSE,TRUE,FALSE,,FALSE,English,327520,Tardy
White,M,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,309286,Absent
Hispanic,F,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Spanish,315061,Absent
Hispanic,F,12,2/16/2018,12:48 PM,FALSE,FALSE,TRUE,,FALSE,English,305143,Present
White,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,301397,Absent
Hispanic,M,10,2/16/2018,9:38 AM,FALSE,TRUE,FALSE,,FALSE,Spanish,247439,Tardy
Hispanic,F,12,2/16/2018,8:02 AM,FALSE,TRUE,FALSE,,FALSE,English,259248,Tardy
Hispanic,M,10,2/16/2018,7:31 AM,FALSE,TRUE,FALSE,,FALSE,English,250770,Tardy
Asian,F,12,2/16/2018,12:10 PM,FALSE,FALSE,TRUE,,FALSE,English,247234,Present
Asian,F,9,2/16/2018,11:13 AM,FALSE,FALSE,TRUE,,FALSE,English,307327,Present
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,297664,Absent
Asian,M,10,2/16/2018,7:23 AM,FALSE,TRUE,FALSE,,FALSE,Vietnamese,228644,Tardy
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,328999,Absent
Asian,F,11,2/16/2018,7:38 AM,FALSE,TRUE,FALSE,,FALSE,Vietnamese,248900,Tardy
Asian,M,8,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Vietnamese,323923,Absent
Asian,M,9,2/16/2018,Null,FALSE,FALSE,FALSE,Religious Holiday,TRUE,Vietnamese,332551,Present
Hispanic,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,298689,Absent
Hispanic,M,9,2/16/2018,7:22 AM,FALSE,TRUE,FALSE,,FALSE,English,268178,Tardy
